,estado,data,coduf,codmun,codRegiaoSaude,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,Recuperadosnovos,emAcompanhamentoNovos
0,AC,2020-03-19,12,0.0,0.0,12,881935.0,3,0,0.0,0.0
1,AC,2020-03-20,12,0.0,0.0,12,881935.0,7,0,0.0,0.0
2,AC,2020-03-21,12,0.0,0.0,12,881935.0,9,0,0.0,0.0
3,AC,2020-03-22,12,0.0,0.0,13,881935.0,11,0,0.0,0.0
4,AC,2020-03-23,12,0.0,0.0,13,881935.0,11,0,0.0,0.0
5,AC,2020-03-24,12,0.0,0.0,13,881935.0,17,0,0.0,0.0
6,AC,2020-03-25,12,0.0,0.0,13,881935.0,23,0,0.0,0.0
7,AC,2020-03-26,12,0.0,0.0,13,881935.0,24,0,0.0,0.0
8,AC,2020-03-27,12,0.0,0.0,13,881935.0,25,0,0.0,0.0
9,AC,2020-03-28,24,120040.0,12002.0,26,1289254.0,50,0,0.0,0.0
10,AC,2020-03-29,48,360121.0,36006.0,56,1323014.0,68,0,0.0,0.0
11,AC,2020-03-30,48,360121.0,36006.0,56,1323014.0,84,0,0.0,0.0
12,AC,2020-03-31,48,360121.0,36006.0,56,1323014.0,84,0,0.0,0.0
13,AC,2020-04-01,48,360121.0,36006.0,56,1323014.0,86,0,0.0,0.0
14,AC,2020-04-02,48,360121.0,36006.0,56,1323014.0,86,0,0.0,0.0
15,AC,2020-04-03,48,360121.0,36006.0,56,1323014.0,92,0,0.0,0.0
16,AC,2020-04-04,48,360121.0,36006.0,56,1323014.0,92,0,0.0,0.0
17,AC,2020-04-05,48,360121.0,36006.0,60,1323014.0,96,0,0.0,0.0
18,AC,2020-04-06,60,480159.0,48008.0,75,1342775.0,100,0,0.0,0.0
19,AC,2020-04-07,60,480159.0,48008.0,75,1342775.0,100,2,0.0,0.0
20,AC,2020-04-08,60,480159.0,48008.0,75,1342775.0,108,4,0.0,0.0
21,AC,2020-04-09,72,600172.0,60010.0,90,1353041.0,124,4,0.0,0.0
22,AC,2020-04-10,72,600172.0,60010.0,90,1353041.0,140,4,0.0,0.0
23,AC,2020-04-11,72,600172.0,60010.0,90,1353041.0,144,4,0.0,0.0
24,AC,2020-04-12,72,600172.0,60010.0,96,1353041.0,154,4,0.0,0.0
25,AC,2020-04-13,84,720192.0,72013.0,112,1441417.0,180,6,0.0,0.0
26,AC,2020-04-14,84,720192.0,72013.0,112,1441417.0,198,6,0.0,0.0
27,AC,2020-04-15,84,720192.0,72013.0,112,1441417.0,202,6,0.0,0.0
28,AC,2020-04-16,84,720192.0,72013.0,112,1441417.0,220,10,0.0,0.0
29,AC,2020-04-17,84,720192.0,72013.0,112,1441417.0,270,10,0.0,0.0
30,AC,2020-04-18,84,720192.0,72013.0,112,1441417.0,284,10,0.0,0.0
31,AC,2020-04-19,96,840237.0,84015.0,136,1464441.0,326,12,0.0,0.0
32,AC,2020-04-20,96,840237.0,84015.0,136,1464441.0,352,16,0.0,0.0
33,AC,2020-04-21,96,840237.0,84015.0,136,1464441.0,390,16,0.0,0.0
34,AC,2020-04-22,96,840237.0,84015.0,136,1464441.0,428,16,0.0,0.0
35,AC,2020-04-23,96,840237.0,84015.0,136,1464441.0,454,20,0.0,0.0
36,AC,2020-04-24,96,840237.0,84015.0,136,1464441.0,468,22,0.0,0.0
37,AC,2020-04-25,96,840237.0,84015.0,136,1464441.0,516,22,0.0,0.0
38,AC,2020-04-26,96,840237.0,84015.0,144,1464441.0,558,22,0.0,0.0
39,AC,2020-04-27,96,840237.0,84015.0,144,1464441.0,580,28,0.0,0.0
40,AC,2020-04-28,96,840237.0,84015.0,144,1464441.0,622,32,0.0,0.0
41,AC,2020-04-29,120,1080340.0,108019.0,180,1502741.0,708,34,0.0,0.0
42,AC,2020-04-30,120,1080340.0,108019.0,180,1502741.0,808,38,0.0,0.0
43,AC,2020-05-01,132,1200345.0,120020.0,198,1510158.0,972,38,0.0,0.0
44,AC,2020-05-02,156,1440435.0,144026.0,234,1587505.0,1106,43,0.0,0.0
45,AC,2020-05-03,156,1440435.0,144026.0,247,1587505.0,1314,48,0.0,0.0
