X.1,Casos,Column 1,Mortes
26-fev,1,undefined,0
27-fev,1,undefined,0
28-fev,1,undefined,0
29-fev,2,undefined,0
1-Mar,2,undefined,0
2-Mar,2,undefined,0
3-Mar,2,undefined,0
4-Mar,3,undefined,0
5-Mar,8,undefined,0
6-Mar,13,undefined,0
7-Mar,25,undefined,0
8-Mar,25,undefined,0
9-Mar,25,undefined,0
10-Mar,34,undefined,0
11-Mar,52,undefined,0
12-Mar,77,undefined,0
13-Mar,98,undefined,0
14-Mar,98,undefined,0
15-Mar,98,undefined,0
16-Mar,234,undefined,0
17-Mar,349,undefined,1
18-Mar,529,undefined,4
19-Mar,647,undefined,7
20-Mar,977,undefined,11
21-Mar,1226,undefined,18
22-Mar,1604,undefined,25
23-Mar,1960,undefined,34
24-Mar,2271,undefined,47
25-Mar,2555,undefined,59
