Estado,Brasil,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
16-Mar,234,0,1,0,1,2,0,13,1,3,0,0,2,5,0,0,6,2,0,31,1,6,0,0,7,152,1,0
17-Mar,349,3,1,0,1,16,11,19,8,10,0,0,6,14,0,0,12,19,0,33,1,19,0,0,7,164,5,0
18-Mar,529,3,1,0,2,27,20,36,11,12,0,0,7,19,1,1,14,22,0,63,1,28,0,0,14,240,6,1
19-Mar,647,3,4,0,3,31,24,42,13,15,0,0,9,29,1,1,23,28,3,66,1,37,0,0,21,286,6,1
20-Mar,977,7,6,1,7,34,68,87,16,15,0,1,12,38,2,1,36,31,4,109,1,56,1,0,40,396,7,1
21-Mar,1226,11,7,1,26,49,84,112,26,18,2,2,16,55,4,1,43,33,4,119,9,71,3,2,57,459,10,2
22-Mar,1604,11,7,1,26,55,125,131,26,21,2,2,21,83,4,1,54,37,6,186,9,77,3,2,68,631,10,5
23-Mar,1960,17,8,1,32,63,164,146,33,23,8,6,21,128,5,2,60,42,6,233,13,96,3,2,86,745,10,7
24-Mar,2271,21,10,1,47,79,185,177,40,29,8,7,24,130,5,3,70,42,8,305,14,112,5,8,109,810,15,7
25-Mar,2555,23,11,2,54,91,211,191,40,29,8,9,24,133,7,5,97,46,8,370,14,162,5,8,122,862,16,7
26-Mar,2988,23,11,2,67,108,238,203,48,38,10,11,25,153,13,6,106,48,9,421,19,190,6,8,149,1052,16,8
27-Mar,3036,23,11,2,67,108,238,203,48,38,10,11,25,189,13,9,106,48,9,421,28,190,6,8,149,1052,16,8
